"ano","ranking","pais","chegadas_pais_ano","porcentagem"
2015,"3","Chile","306331","0.0486"
2015,"4","Paraguai","301831","0.0479"
2015,"5","Uruguai","267321","0.0424"
2016,"1","Argentina","2294900","0.3505"
2016,"2","Estados Unidos","570350","0.0871"
2016,"3","Paraguai","316714","0.0484"
2016,"4","Chile","311813","0.0476"
2016,"5","Uruguai","284113","0.0434"
2017,"1","Argentina","2622327","0.3980"
2017,"2","Estados Unidos","475232","0.0721"
2017,"3","Chile","342143","0.0519"
2017,"4","Paraguai","336646","0.0511"
2017,"5","Uruguai","328098","0.0498"
2018,"1","Argentina","2498483","0.3773"
2018,"2","Estados Unidos","538532","0.0813"
2018,"3","Chile","387470","0.0585"
2018,"4","Paraguai","356897","0.0539"
2018,"5","Uruguai","348336","0.0526"
2019,"1","Argentina","1954725","0.3077"
2019,"2","Estados Unidos","590520","0.0929"
2019,"3","Paraguai","406526","0.0640"
2019,"4","Chile","391689","0.0617"
2019,"5","Uruguai","364830","0.0574"
2020,"1","Argentina","887805","0.4136"
2020,"2","Estados Unidos","172105","0.0802"
2020,"3","Chile","131174","0.0611"
2020,"4","Paraguai","122981","0.0573"
2020,"5","Uruguai","113714","0.0530"
2021,"1","Estados Unidos","132182","0.1772"
2021,"2","Paraguai","132126","0.1771"
2021,"3","Argentina","67280","0.0902"
2021,"4","Chile","46673","0.0626"
2021,"15","Uruguai","11575","0.0155"
2022,"1","Argentina","1032762","0.2845"
2022,"2","Estados Unidos","441007","0.1215"
2022,"3","Paraguai","308234","0.0849"
2022,"4","Chile","202470","0.0558"
2022,"5","Uruguai","180064","0.0496"
2023,"1","Argentina","1882240","0.3186"
2023,"2","Estados Unidos","668478","0.1131"
2023,"3","Chile","458576","0.0776"
2023,"4","Paraguai","424460","0.0718"
2023,"5","Uruguai","334703","0.0566"
2024,"1","Argentina","1960182","0.2894"
2024,"2","Estados Unidos","728537","0.1076"
2024,"3","Chile","653895","0.0965"
2024,"4","Paraguai","465020","0.0687"
2024,"5","Uruguai","388464","0.0573"
